bodyId,cluster,cluster_size,cluster_name,linkage_method,recluster_k
100027617,1,171,raphe_superior_soma_in_roi_complete_k10_C01,complete,10
100032888,1,171,raphe_superior_soma_in_roi_complete_k10_C01,complete,10
100034280,1,171,raphe_superior_soma_in_roi_complete_k10_C01,complete,10
100041227,1,171,raphe_superior_soma_in_roi_complete_k10_C01,complete,10
100071864,1,171,raphe_superior_soma_in_roi_complete_k10_C01,complete,10
100099276,1,171,raphe_superior_soma_in_roi_complete_k10_C01,complete,10
100106282,1,171,raphe_superior_soma_in_roi_complete_k10_C01,complete,10
100108507,1,171,raphe_superior_soma_in_roi_complete_k10_C01,complete,10
100109817,1,171,raphe_superior_soma_in_roi_complete_k10_C01,complete,10
100124841,1,171,raphe_superior_soma_in_roi_complete_k10_C01,complete,10
100138402,1,171,raphe_superior_soma_in_roi_complete_k10_C01,complete,10
100150109,1,171,raphe_superior_soma_in_roi_complete_k10_C01,complete,10
100158929,1,171,raphe_superior_soma_in_roi_complete_k10_C01,complete,10
100193982,1,171,raphe_superior_soma_in_roi_complete_k10_C01,complete,10
100206253,1,171,raphe_superior_soma_in_roi_complete_k10_C01,complete,10
100225727,1,171,raphe_superior_soma_in_roi_complete_k10_C01,complete,10
100235280,1,171,raphe_superior_soma_in_roi_complete_k10_C01,complete,10
100244681,1,171,raphe_superior_soma_in_roi_complete_k10_C01,complete,10
100255094,1,171,raphe_superior_soma_in_roi_complete_k10_C01,complete,10
100261110,1,171,raphe_superior_soma_in_roi_complete_k10_C01,complete,10
100262230,1,171,raphe_superior_soma_in_roi_complete_k10_C01,complete,10
100274896,1,171,raphe_superior_soma_in_roi_complete_k10_C01,complete,10
100308135,1,171,raphe_superior_soma_in_roi_complete_k10_C01,complete,10
100313228,1,171,raphe_superior_soma_in_roi_complete_k10_C01,complete,10
100319474,1,171,raphe_superior_soma_in_roi_complete_k10_C01,complete,10
100341727,1,171,raphe_superior_soma_in_roi_complete_k10_C01,complete,10
100345813,1,171,raphe_superior_soma_in_roi_complete_k10_C01,complete,10
100356691,1,171,raphe_superior_soma_in_roi_complete_k10_C01,complete,10
100366430,1,171,raphe_superior_soma_in_roi_complete_k10_C01,complete,10
100387934,1,171,raphe_superior_soma_in_roi_complete_k10_C01,complete,10
100417290,1,171,raphe_superior_soma_in_roi_complete_k10_C01,complete,10
100424577,1,171,raphe_superior_soma_in_roi_complete_k10_C01,complete,10
100436023,1,171,raphe_superior_soma_in_roi_complete_k10_C01,complete,10
100480001,1,171,raphe_superior_soma_in_roi_complete_k10_C01,complete,10
100480262,1,171,raphe_superior_soma_in_roi_complete_k10_C01,complete,10
100524781,1,171,raphe_superior_soma_in_roi_complete_k10_C01,complete,10
100536733,1,171,raphe_superior_soma_in_roi_complete_k10_C01,complete,10
100537913,1,171,raphe_superior_soma_in_roi_complete_k10_C01,complete,10
100546632,1,171,raphe_superior_soma_in_roi_complete_k10_C01,complete,10
100580191,1,171,raphe_superior_soma_in_roi_complete_k10_C01,complete,10
100611096,1,171,raphe_superior_soma_in_roi_complete_k10_C01,complete,10
100611375,1,171,raphe_superior_soma_in_roi_complete_k10_C01,complete,10
100647252,1,171,raphe_superior_soma_in_roi_complete_k10_C01,complete,10
100661111,1,171,raphe_superior_soma_in_roi_complete_k10_C01,complete,10
100671796,1,171,raphe_superior_soma_in_roi_complete_k10_C01,complete,10
100681374,1,171,raphe_superior_soma_in_roi_complete_k10_C01,complete,10
100705041,1,171,raphe_superior_soma_in_roi_complete_k10_C01,complete,10
100708486,1,171,raphe_superior_soma_in_roi_complete_k10_C01,complete,10
100711177,1,171,raphe_superior_soma_in_roi_complete_k10_C01,complete,10
100780474,1,171,raphe_superior_soma_in_roi_complete_k10_C01,complete,10
100805918,1,171,raphe_superior_soma_in_roi_complete_k10_C01,complete,10
100826307,1,171,raphe_superior_soma_in_roi_complete_k10_C01,complete,10
100827112,1,171,raphe_superior_soma_in_roi_complete_k10_C01,complete,10
100827675,1,171,raphe_superior_soma_in_roi_complete_k10_C01,complete,10
100839690,1,171,raphe_superior_soma_in_roi_complete_k10_C01,complete,10
100995087,1,171,raphe_superior_soma_in_roi_complete_k10_C01,complete,10
101026308,1,171,raphe_superior_soma_in_roi_complete_k10_C01,complete,10
101062470,1,171,raphe_superior_soma_in_roi_complete_k10_C01,complete,10
101099297,1,171,raphe_superior_soma_in_roi_complete_k10_C01,complete,10
101104708,1,171,raphe_superior_soma_in_roi_complete_k10_C01,complete,10
