bodyId,umap1,umap2,umap_name,umap_n_neighbors,umap_min_dist,umap_spread,umap_random_state
100027617,5.69081,-2.206545,nn30_md001,30,0.01,1.0,7
100032888,12.244124,2.155917,nn30_md001,30,0.01,1.0,7
100034280,11.092208,1.827338,nn30_md001,30,0.01,1.0,7
100071864,9.55696,-0.737318,nn30_md001,30,0.01,1.0,7
100099276,9.874893,0.69844437,nn30_md001,30,0.01,1.0,7
100106282,12.343102,2.2597597,nn30_md001,30,0.01,1.0,7
100108507,8.575347,0.14079718,nn30_md001,30,0.01,1.0,7
100138402,9.60013,-0.65771484,nn30_md001,30,0.01,1.0,7
100150109,9.332953,-1.0486194,nn30_md001,30,0.01,1.0,7
100225727,11.524453,1.9987174,nn30_md001,30,0.01,1.0,7
100235280,10.038684,0.68865955,nn30_md001,30,0.01,1.0,7
100244681,5.6317344,-2.1268513,nn30_md001,30,0.01,1.0,7
100255094,12.377864,2.2806113,nn30_md001,30,0.01,1.0,7
100261110,9.654365,0.8617983,nn30_md001,30,0.01,1.0,7
100308135,9.466052,-0.80064046,nn30_md001,30,0.01,1.0,7
100341727,9.846567,0.50601244,nn30_md001,30,0.01,1.0,7
100345813,9.38859,-0.96793884,nn30_md001,30,0.01,1.0,7
100356691,9.24485,-1.2067034,nn30_md001,30,0.01,1.0,7
100366430,12.28888,2.3612876,nn30_md001,30,0.01,1.0,7
100387934,10.898534,2.224809,nn30_md001,30,0.01,1.0,7
100417290,9.97792,0.9745325,nn30_md001,30,0.01,1.0,7
100424577,10.936129,2.2658117,nn30_md001,30,0.01,1.0,7
100436023,11.791908,2.1362836,nn30_md001,30,0.01,1.0,7
100480001,9.613731,1.0883082,nn30_md001,30,0.01,1.0,7
100524781,11.639012,2.59319,nn30_md001,30,0.01,1.0,7
100546632,9.133872,-0.18775561,nn30_md001,30,0.01,1.0,7
100580191,9.566779,-0.69001824,nn30_md001,30,0.01,1.0,7
100597375,9.204881,0.31431994,nn30_md001,30,0.01,1.0,7
100611096,9.856946,1.2207983,nn30_md001,30,0.01,1.0,7
100611375,9.845615,1.1949061,nn30_md001,30,0.01,1.0,7
100647252,11.817939,2.0079386,nn30_md001,30,0.01,1.0,7
100661111,9.186717,-0.23563664,nn30_md001,30,0.01,1.0,7
100681374,9.1712,-0.28552324,nn30_md001,30,0.01,1.0,7
100708486,12.234829,2.0850525,nn30_md001,30,0.01,1.0,7
100711177,11.665341,2.597784,nn30_md001,30,0.01,1.0,7
100780474,12.231408,2.088897,nn30_md001,30,0.01,1.0,7
100805918,9.615334,-0.6051288,nn30_md001,30,0.01,1.0,7
100826307,12.258795,2.3561597,nn30_md001,30,0.01,1.0,7
100827112,10.717446,2.3464737,nn30_md001,30,0.01,1.0,7
100839690,9.934434,0.69675004,nn30_md001,30,0.01,1.0,7
100995087,9.169685,-1.1772974,nn30_md001,30,0.01,1.0,7
101026308,9.181023,-1.2097766,nn30_md001,30,0.01,1.0,7
101062470,12.325014,2.1577716,nn30_md001,30,0.01,1.0,7
101099297,10.910164,2.2851706,nn30_md001,30,0.01,1.0,7
101128238,9.859411,1.0821549,nn30_md001,30,0.01,1.0,7
101150477,9.205793,0.9992423,nn30_md001,30,0.01,1.0,7
101153560,9.563653,-0.74043757,nn30_md001,30,0.01,1.0,7
101180232,9.219088,-1.2852308,nn30_md001,30,0.01,1.0,7
101201910,12.106861,1.94869,nn30_md001,30,0.01,1.0,7
101216343,10.880631,2.2785354,nn30_md001,30,0.01,1.0,7
101226169,11.569023,2.4921908,nn30_md001,30,0.01,1.0,7
101227922,9.188554,-1.3206649,nn30_md001,30,0.01,1.0,7
101277566,9.4560795,-0.90768266,nn30_md001,30,0.01,1.0,7
101278076,11.504871,2.5034213,nn30_md001,30,0.01,1.0,7
101330589,9.3108835,-1.1435357,nn30_md001,30,0.01,1.0,7
101392917,9.706478,0.5835389,nn30_md001,30,0.01,1.0,7
101480168,9.271855,-0.3621669,nn30_md001,30,0.01,1.0,7
101494400,9.425145,-0.93430907,nn30_md001,30,0.01,1.0,7
101564942,9.531786,-0.44892627,nn30_md001,30,0.01,1.0,7
101600347,11.580862,2.466819,nn30_md001,30,0.01,1.0,7
101713513,9.211278,-1.2844774,nn30_md001,30,0.01,1.0,7
101736097,9.450997,-0.4908073,nn30_md001,30,0.01,1.0,7
101744697,11.6110525,2.6263375,nn30_md001,30,0.01,1.0,7
101852634,12.253592,2.107242,nn30_md001,30,0.01,1.0,7
101860842,12.321511,2.4242637,nn30_md001,30,0.01,1.0,7
101887888,11.616414,2.6167588,nn30_md001,30,0.01,1.0,7
101892034,11.846436,2.5631735,nn30_md001,30,0.01,1.0,7
101945723,11.546153,2.4778628,nn30_md001,30,0.01,1.0,7
102005037,8.7626,-0.008611691,nn30_md001,30,0.01,1.0,7
102039573,11.636033,1.9414039,nn30_md001,30,0.01,1.0,7
102041641,11.357293,1.8580716,nn30_md001,30,0.01,1.0,7
102056764,9.236711,-1.2172438,nn30_md001,30,0.01,1.0,7
102059018,9.83599,1.2346306,nn30_md001,30,0.01,1.0,7
102133094,12.201228,2.061987,nn30_md001,30,0.01,1.0,7
102151674,11.023277,1.5545945,nn30_md001,30,0.01,1.0,7
102212982,9.533994,-0.37996504,nn30_md001,30,0.01,1.0,7
102237778,11.724691,2.0190303,nn30_md001,30,0.01,1.0,7
102269165,11.340091,1.8852522,nn30_md001,30,0.01,1.0,7
102380638,9.595174,-0.02116574,nn30_md001,30,0.01,1.0,7
102480511,5.681282,-2.1522198,nn30_md001,30,0.01,1.0,7
102663935,9.197512,-1.2794468,nn30_md001,30,0.01,1.0,7
103088829,12.171349,2.064415,nn30_md001,30,0.01,1.0,7
103092150,12.351836,2.2361732,nn30_md001,30,0.01,1.0,7
103202954,10.970125,1.4973816,nn30_md001,30,0.01,1.0,7
103393126,9.412241,-0.07336315,nn30_md001,30,0.01,1.0,7
103400665,11.489662,1.9270536,nn30_md001,30,0.01,1.0,7
103753856,10.879651,2.1235306,nn30_md001,30,0.01,1.0,7
103768672,11.610028,2.5852332,nn30_md001,30,0.01,1.0,7
103984300,9.214768,0.36034954,nn30_md001,30,0.01,1.0,7
104023930,12.372172,2.2425914,nn30_md001,30,0.01,1.0,7
104038292,10.976261,2.210556,nn30_md001,30,0.01,1.0,7
104111463,12.352256,2.2891662,nn30_md001,30,0.01,1.0,7
104153953,10.918314,2.3002884,nn30_md001,30,0.01,1.0,7
104399195,8.540739,0.15728256,nn30_md001,30,0.01,1.0,7
104427250,12.185178,2.0585935,nn30_md001,30,0.01,1.0,7
